movie,genre,plot
Doctor Strange in the Multiverse of Madness,"['Action', ' Adventure', ' Fantasy']","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
Avatar: The Way of Water,"['Action', ' Adventure', ' Sci-Fi']","Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet."
The Northman,"['Action', ' Adventure', ' Drama']","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder."
Moon Knight,"['Action', ' Adventure', ' Fantasy']",Steven Grant discovers he's been granted the powers of an Egyptian moon god. But he soon finds out that these newfound powers can be both a blessing and a curse to his troubled life.
The Batman,"['Action', ' Crime', ' Drama']","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
The Lost City,"['Action', ' Adventure', ' Comedy']",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Everything Everywhere All at Once,"['Action', ' Adventure', ' Comedy']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led."
Top Gun: Maverick,"['Action', ' Drama']","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him."
Star Trek: Strange New Worlds,"['Action', ' Adventure', ' Sci-Fi']","A prequel to Star Trek: The Original Series, the show will follow the crew of the USS Enterprise under Captain Christopher Pike."
House of the Dragon,"['Action', ' Adventure', ' Drama']",The story of the House Targaryen set 200 years before the events of Game of Thrones (2011).
Halo,"['Action', ' Adventure', ' Sci-Fi']",Aliens threaten human existence in an epic 26th-century showdown. TV series based on the video game 'Halo.'
Game of Thrones,"['Action', ' Adventure', ' Drama']","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
Uncharted,"['Action', ' Adventure']","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
Doctor Strange,"['Action', ' Adventure', ' Fantasy']","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
Welcome to Eden,"['Action', ' Thriller']","A group of young adults attend a party on a remote island, but the tempting paradise they find waiting for them holds dangerous secrets and entrapments."
Fantastic Beasts: The Secrets of Dumbledore,"['Action', ' Adventure', ' Fantasy']",Albus Dumbledore assigns Newt and his allies with a mission related to the rising power of Grindelwald.
Spider-Man: No Way Home,"['Action', ' Adventure', ' Fantasy']","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Clark,"['Action', ' Comedy', ' Crime']","This is the incredible story behind Sweden's most notorious gangster, Clark Olofsson, whose infamous crimes gave rise to the term ""Stockholm Syndrome""."
Obi-Wan Kenobi,"['Action', ' Adventure', ' Sci-Fi']",Jedi Master Obi-Wan Kenobi watches over young Luke Skywalker and evades the Empire's elite Jedi hunters during his exile on the desert planet Tatooine.
Barry,"['Action', ' Comedy', ' Crime']",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
Avatar,"['Action', ' Adventure', ' Fantasy']",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Thor: Love and Thunder,"['Action', ' Adventure', ' Fantasy']","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
Top Gun,"['Action', ' Drama']","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
Sonic the Hedgehog 2,"['Action', ' Adventure', ' Comedy']","When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way."
Star Trek: Picard,"['Action', ' Adventure', ' Drama']",Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life.
The Last Kingdom,"['Action', ' Drama', ' History']","As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
"Love, Death & Robots","['Animation', ' Short', ' Action']","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
The Unbearable Weight of Massive Talent,"['Action', ' Comedy', ' Crime']","In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish)."
WandaVision,"['Action', ' Comedy', ' Drama']","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems."
NCIS: Naval Criminal Investigative Service,"['Action', ' Crime', ' Drama']","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
Tehran,"['Action', ' Crime', ' Drama']",A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.
The Takedown,"['Action', ' Comedy', ' Crime']","Diakité and Monge as police officers who are the complete opposite, and get paired together to uncover an unexpectedly big criminal case."
The Boys,"['Action', ' Crime', ' Drama']",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
Ambulance,"['Action', ' Crime', ' Drama']",Two robbers steal an ambulance after their heist goes awry.
Dune,"['Action', ' Adventure', ' Drama']",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
The Gentlemen,"['Action', ' Comedy', ' Crime']","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Jurassic World Dominion,"['Action', ' Adventure', ' Sci-Fi']","Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures in a new Era."
Thar,"['Action', ' Crime', ' Drama']",A man who moves to a big town to seek a job and to avenge his past.
Vikings,"['Action', ' Adventure', ' Drama']","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
